,Date,TSLA,SHEL,JNJ,XOM,MSFT,GOOG,JPM,TM,AZN
0,2014-04-30,13.859333038330078,46.44540786743164,77.12406158447266,66.4637680053711,34.21092224121094,26.260900497436523,42.37972640991211,100.83998107910156,28.2899169921875
1,2014-05-01,13.84866714477539,46.62826919555664,76.54536437988281,65.81478881835938,33.8721923828125,26.49475860595703,42.182884216308594,102.05840301513672,29.01997756958008
2,2014-05-02,14.060667037963867,46.8524055480957,75.61644744873047,66.20417785644531,33.60969161987305,26.32422637939453,42.076904296875,102.24441528320312,28.99492073059082
3,2014-05-05,14.440667152404783,46.876014709472656,76.14181518554688,66.78829193115234,33.38951873779297,26.3182430267334,41.047306060791016,101.7886734008789,28.5833683013916
4,2014-05-06,13.8186674118042,46.876014709472656,75.76872253417969,66.63250732421875,33.076202392578125,25.68647766113281,40.381107330322266,101.3794403076172,28.31497001647949
5,2014-05-07,13.423333168029783,47.37148284912109,76.83470153808594,66.91808319091797,33.38104248046875,25.428186416625977,40.91861724853516,101.40733337402344,28.02866744995117
6,2014-05-08,11.906000137329102,47.48355484008789,76.52253723144531,66.40536499023438,33.56734848022461,25.48004531860352,41.1533088684082,100.58885955810548,28.178977966308597
7,2014-05-09,12.150667190551758,46.964481353759766,76.83470153808594,66.61444091796875,33.48267364501953,25.86548614501953,40.888328552246094,101.25852966308594,27.642166137695312
8,2014-05-12,12.31133270263672,47.13554000854492,76.5377426147461,66.79742431640625,33.8467903137207,26.42345428466797,41.37284851074219,101.57474517822266,27.86762809753418
9,2014-05-13,12.677332878112791,47.052955627441406,76.91846466064453,66.88233947753906,34.46931838989258,26.581520080566406,41.35013961791992,103.5930404663086,28.04298591613769
10,2014-05-14,12.708000183105469,46.95746994018555,76.80426025390625,66.83660888671875,34.315818786621094,26.26040267944336,41.1533088684082,102.7094497680664,28.017942428588867
11,2014-05-15,12.572667121887209,46.993282318115234,76.6672134399414,65.84996795654297,33.77003860473633,25.927814483642575,40.50979995727539,101.844482421875,28.81598281860352
12,2014-05-16,12.77066707611084,47.118629455566406,76.58341979980469,65.8238525390625,33.96617889404297,25.96022605895996,40.35839080810547,101.94678497314452,28.730098724365234
13,2014-05-19,13.072667121887209,47.30364990234375,76.6291275024414,65.90879821777344,33.8979606628418,26.3705997467041,40.752052307128906,101.01669311523438,25.28019905090332
14,2014-05-20,13.020000457763672,47.02312469482422,76.33216094970703,65.77810668945312,33.8382682800293,26.41597557067871,40.66878509521485,100.14241027832033,25.83847999572754
15,2014-05-21,13.296667098999023,47.2797966003418,77.00981903076172,66.6667251586914,34.40961837768555,26.873220443725582,40.97160339355469,100.50514221191406,26.36455726623535
16,2014-05-22,13.658666610717772,47.48869705200195,77.40853881835938,66.32041931152344,34.19642639160156,27.17838287353516,41.297149658203125,101.8351821899414,25.824169158935547
17,2014-05-23,13.81999969482422,47.20816421508789,77.42386627197266,66.20281982421875,34.213478088378906,27.559335708618164,41.28200149536133,101.97468566894533,25.86710929870605
18,2014-05-27,14.104000091552734,46.83213424682617,77.29351806640625,66.22895050048828,34.27317810058594,28.22002220153809,41.74378967285156,102.41183471679688,25.784801483154297
19,2014-05-28,14.015999794006348,46.64707565307617,76.90247344970703,66.03292846679688,34.11967849731445,28.00710678100586,41.97848510742188,102.2258071899414,25.466293334960938
20,2014-05-29,14.015999794006348,47.04102325439453,77.25518035888672,66.17012786865234,34.40110397338867,27.927326202392575,42.182884216308594,103.69535064697266,25.512813568115234
21,2014-05-30,13.851332664489746,46.91568756103516,77.7918930053711,65.68663024902344,34.91275787353516,27.9178524017334,42.0693359375,105.20209503173828,25.83847999572754
22,2014-06-02,13.646666526794434,46.9873161315918,78.33627319335938,65.30113220214844,34.78484344482422,27.62066650390625,41.90277099609375,105.9833526611328,26.2571964263916
23,2014-06-03,13.662667274475098,47.36931610107422,78.55862426757812,65.59515380859375,34.358455657958984,27.17239761352539,42.09202575683594,106.8855438232422,26.038890838623047
24,2014-06-04,13.599332809448242,46.79033279418945,78.727294921875,65.36646270751953,34.384033203125,27.15843772888184,42.15260314941406,106.47631072998048,25.9995231628418
25,2014-06-05,13.793333053588867,47.13652420043945,79.141357421875,65.69969940185547,35.14301300048828,27.619171142578125,42.87181091308594,106.57862091064452,25.85279083251953
26,2014-06-06,13.878000259399414,47.36336135864258,79.11067199707031,66.38575744628906,35.373260498046875,27.740339279174805,43.12921142578125,107.0994644165039,26.074684143066406
27,2014-06-09,13.687333106994627,47.29172134399414,79.141357421875,66.33349609375,35.19418716430664,28.02904510498047,43.46987533569336,107.02505493164062,26.167726516723636
28,2014-06-10,13.486666679382324,47.17830657958984,79.81602478027344,66.2942886352539,35.05772399902344,27.950761795043945,43.83325958251953,105.90896606445312,26.053207397460938
29,2014-06-11,13.631333351135254,47.05893325805664,79.21798706054688,66.61444091796875,34.84452438354492,27.86549568176269,43.35631561279297,106.08566284179688,26.56139373779297
30,2014-06-12,13.567999839782717,47.62001419067383,78.61227416992188,66.42498016357422,34.605770111083984,27.492021560668945,43.18218994140625,106.2716827392578,26.49697494506836
31,2014-06-13,13.761333465576172,48.04977035522461,78.61227416992188,67.07183837890625,35.16006851196289,27.51246452331543,43.18218994140625,106.25308227539062,26.568546295166016
32,2014-06-16,14.973999977111816,48.2109375,78.55094909667969,67.24824523925781,35.39031982421875,27.139488220214844,43.053504943847656,106.47631072998048,26.38960647583008
33,2014-06-17,15.444666862487791,48.01993179321289,78.15225982666016,66.9215316772461,35.543827056884766,27.07616233825684,43.46987533569336,106.69022369384766,26.461181640625
